ID,MLS,Location,Price,Bedrooms,Bathrooms,Size,Price SQ Ft,Status
1,143178,Santa Maria-Orcutt,375000,4,2,1963,191.03,Short Sale
2,143217,Santa Maria-Orcutt,330000,3,3,1900,173.68,Short Sale
3,143252,Santa Maria-Orcutt,199000,3,3,1450,137.24,Short Sale
4,143255,Santa Maria-Orcutt,165000,2,2,1000,165,Short Sale
