ID,MLS,Location,Price,Bedrooms,Bathrooms,Size,Price SQ Ft,Status
9,143540,Nipomo,498000,4,3,2341,212.73,Short Sale
10,143884,Nipomo,430000,4,2,2168,198.34,Short Sale
11,143946,Paso Robles,539900,4,3,3032,178.07,Short Sale
12,144204,Pismo Beach,499000,3,2,1293,385.92,Short Sale
12,144238,Los Osos,275000,3,2,1200,229.17,Short Sale
